bastante,quite,sufficient,enough,,
comparar,to compare,,,,
demasiado,too,,,,
igual que,same as,like,,,
más (que),more,,,,
mayor,main,bigger,,,
"mayoría, la",most,majority,,,
mejor,better,best,,,
menor,smaller,,,,
menos (que),less,,,,
mismo,same,,,,
muy,very,,,,
parecido a,like,similar,,,
peor,worse,worst,,,
poco (eg poco ruidoso),not very,little,a bit,,
tan … como,as … as,,,,
tanto … como,as much … as,,,,
a pesar de,in spite of,despite,,,
así que,so,,,,
aun (si),even,,,,
aunque,although,though,,,
como,as,like,,,
cuando,when,,,,
incluso,even,,,,
mientras (que),while,,,,
o/u,or,,,,
pero,but,,,,
por eso,for that reason,as a result,,,
por lo tanto,therefore,,,,
porque,because,,,,
pues,then,,,,
si,if,,,,
sin embargo,however,,,,
tal vez,maybe,,,,
también,also,,,,
ya (que),as,,,,
además,moreover,addition,,,
aparte de,apart from,,,,
claro que,of course,,,,
dado que,given that,,,,
es decir,in other words,to say,,,
sin duda,obviously,certain,without doubt,without a doubt,
hacia,towards,,,,
hasta,until,,,,
para,for,in order to,,,
por,through,by,in,for,per
según,according to,,,,
sin,without,,,,
jamás,never,,,,
ni…ni,neither … nor,,,,
nada,nothing,,,,
nadie,nobody,,,,
ninguno,none,no-one,,,
nunca,never,,,,
sino,but,except,,,
ya no,not any more,,,,
acabar de + infinitive,have just,,,,
comenzar,begin,,,,
continuar,continue,,,,
dar,give,,,,
darse cuenta (de),realise,,,,
deber,must,have to,,,
decidir,decide,,,,
dejar de,stop,,,,
echar,throw,,,,
empezar,begin,,,,
estar,be,,,,
hace(n) falta,need,be necessary,,,
hacer,to do,make,,,
hacerse,become,,,,
hay,there is,there are,,,
hay que,must,has to,,,
ir,go,,,,
irse,leave,go away,,,
necesitar,need,,,,
ocurrir,happen,occur,,,
pasar,happen,go through,spend,pass,
poder,be able,can,,,
poner,put,,,,
querer,to want,love,,,
quisiera,I would like,,,,
saber,know,,,,
seguir,continue,follow,,,
ser,be,,,,
soler,tend,,,,
tener,have,,,,
tener lugar,take place,,,,
tener que,have to,,,,
volver a,do again,,,,
volverse,become,,,,
primero,first,,,,
segundo,second,,,,
tercero,third,,,,
cuarto,fourth,,,,
quinto,fifth,,,,
sexto,sixth,,,,
séptimo,seventh,,,,
octavo,eighth,,,,
noveno,ninth,,,,
décimo,tenth,,,,
"docena, una",dozen,,,,
"número, el",number,,,,
"par, un",pair,couple,,,
unos (diez),about,around,,,
¿(a)dónde?,where,,,,
¿cómo?,how,,,,
¿cuál(es)?,which,,,,
¿cuándo?,when,,,,
¿cuánto?,how much,,,,
¿cuántos …?,how many,,,,
¿de dónde?,where from,,,,
¿de quién?,whose,,,,
¿por dónde?,through where,,,,
¿por qué?,why,,,,
¿qué?,what,,,,
¿quién?,who,,,,
¿a qué hora?,what time,,,,
¿cuánto cuesta?,how much does it cost,,,,
¿cuánto cuestan?,how much do they cost,,,,
¿cuánto es?,how much is it,,,,
¿cuánto vale?,how much does it cost,how much is it worth,,,
¿cuánto vale(n)?,how much do they cost,how much are they worth,,,
¿cuántos años tiene(s)?,how old are you,,,,
¿de qué color?,what colour,,,,
¿para/por cuánto tiempo?,for how long,,,,
¿qué día?,what day,,,,
¿qué fecha?,what date,,,,
¿qué hora es?,what time is it,,,,
¡Basta ya!,enough,,,,
¡Bienvenido!,Welcome,,,,
¡Buen viaje!,Have a good trip,,,,
¡Buena suerte!,Good luck,,,,
¡Por supuesto!,Of course,,,,
¡Claro!,Of course,,,,
¡Cuidado!,Careful,Watch out,,,
¡Enhorabuena!,Congratulations,,,,
¡Felices vacaciones!,good holiday,,,,
¡Felicidades!,Best wishes,Congratulations,,,
¡Felicitaciones!,Congratulations,,,,
¡Ojo!,Watch out! Careful,,,,
¡Qué (+ adjective)!,How,,,,
¡Qué (+ noun)!,What a,,,,
¡Que lo pase(s) bien!,Have a good time,,,,
¡Qué va!,Come on,Rubbish,Nonsense,,
¡Socorro!,Help,,,,
¿Cómo está(s)?,How are you,,,,
¿De veras?,Really,,,,
de nada,welcome,,,,
hasta el (lunes),till,see you,,,
hasta luego,see you later,,,,
hasta mañana,see you tomorrow,,,,
hasta pronto,see you soon,,,,
lo siento,sorry,,,,
perdón,sorry,,,,
perdone,sorry,,,,
por favor,please,,,,
saludar,to greet,to say hello,,,
saludos,regards,greetings,,,
vale,ok,,,,
aburrido,boring,bored,,,
afortunado,lucky,,,,
agradable,pleasant,,,,
antiguo,old,,,,
apropiado,correct,appropriate,,,
barato,cheap,,,,
bonito,pretty,,,,
bueno,good,,,,
"calidad, la",quality,,,,
caro,expensive,,,,
decepcionado,disappointed,,,,
decepcionante,disappointing,,,,
desagradable,unpleasant,,,,
"desventaja, la",disadvantage,,,,
distinto,different,,,,
divertido,amusing,entertaining,,,
duro,hard,,,,
emocionante,exciting,thrilling,moving,,
encantador,charming,,,,
entretenido,entertaining,amusing,,,
espléndido,fantastic,great,terrific,,
estupendo,fantastic,marvellous,,,
fácil,easy,,,,
fatal,awful,fatal,,,
fenomenal,great,fantastic,,,
feo,ugly,,,,
genial,brilliant,great,,,
guay,cool,,,,
hermoso,beautiful,,,,
horroroso,horrible,,,,
impresionante,impressive,striking,,,
increíble,incredible,,,,
inseguro,unsafe,uncertain,,,
inútil,useless,,,,
malo,bad,,,,
maravilloso,marvellous,,,,
nuevo,new,,,,
precioso,precious,beautiful,,,
profundo,deep,profound,,,
raro,strange,rare,,,
seguro,safe,certain,,,
sencillo,simple,plain,straightforward,,
sorprendido,surprised,,,,
tonto,silly,,,,
tranquilo,peaceful,quiet,,,
único,unique,only,single,,
útil,useful,,,,
"ventaja, la",advantage,,,,
viejo,old,,,,
aburrirse,to get bored,,,,
adorar,to adore,to love,,,
alegrar,to cheer up,,,,
alegrarse (de),to be happy about,,,,
apreciar,to appreciate,,,,
aprovechar,to make the most,,,,
aprovecharse (de),to take advantage,,,,
creer,to believe,,,,
dar igual,to be the same,,,,
decepcionar,to disappoint,,,,
decir,to say,,,,
desear,to wish,,,,
disfrutar,to enjoy,,,,
divertirse,to have a good time,,,,
dudar,to doubt,,,,
encantar,to delight,,,,
esperar,to hope,,,,
estar de acuerdo,to agree,,,,
estar a favor,to be in favour of,,,,
estar en contra,to be against,,,,
estar harto de,to be fed up of,,,,
fastidiar,to annoy,to bother,,,
interesar(se),to interest,to be interested in,,,
odiar,to hate,,,,
opinar,to think,to give an opinion,,,
parecer,to seem,,,,
pasarlo bien/mal,to have a good/bad time,,,,
pensar,to think,,,,
ponerse de acuerdo,to agree,,,,
preferir,to prefer,,,,
quedar en,to agree,,,,
querer decir,to mean,,,,
"razón, una",reason,,,,
reconocer,to recognise,,,,
sentir(se),to feel,,,,
tener razón,to be right,,,,
valer la pena,to be worth the trouble,,,,
"estación, la",season,,,,
"invierno, el",winter,,,,
"otoño, el",autumn,,,,
"primavera, la",spring,,,,
"verano, el",summer,,,,
a diario,daily,everyday,,,
a menudo,often,,,,
a partir de,from,,,,
a veces,sometimes,,,,
ahora,now,nowadays,,,
al mismo tiempo,at the same time,,,,
algunas veces,sometimes,,,,
anoche,last night,,,,
"año, el",year,,,,
antes (de),before,,,,
ayer,yesterday,,,,
breve,brief,short,,,
cada,each,every,,,
casi,nearly,,,,
de momento,at the moment,right now,,,
de nuevo,again,,,,
de repente,suddenly,,,,
de vez en cuando,now and then,from time to time,,,
desde,since,,,,
desde hace,since,,,,
despacio,slowly,,,,
después (de),after,afterwards,,,
"día, el",day,,,,
durante,during,,,,
durar,to last,,,,
en seguida/enseguida,straightaway,,,,
entonces,then,,,,
esta noche,tonight,,,,
"fecha, la",date,,,,
"fin de semana, el",weekend,,,,
hoy,today,,,,
lento,slow,,,,
los lunes etc,Mondays etc,,,,
luego,then,afterwards,,,
mañana,tomorrow,,,,
"mañana, la",morning,,,,
"mes, el",month,,,,
mientras tanto,meanwhile,,,,
mucho tiempo,a long time,,,,
"noche, la",night,,,,
otra vez,again,,,,
"pasado, el",past,,,,
pasado (adj),past,,,,
