moins,less
plus,less
moins que,less than
plus que,more than
le meilleur,the best
meilleur,better
grave,good
le pire,the worst
pire,worse
mauvais,bad
le mieux,the best
mieux,better
bien,well
le plus mal,the worst
plus mal,worse
mal,badly
le plus,the most
plus,more
beaucoup,a lot
le moins,the least
moins,less
peu,a little
à cause de,because of
à part,except for
alors,so
aussi,also
car,because
cependant,however
c'est-à-dire,that is to say
comme,like
de l'autre côté,on the other hand
d'un côté,on the one hand,on one hand
donc,so
ensuite,then,afterwards,next
évidemment,obviously
et,and
mais,but
même si,even if
ou,or
parce que,because
par contre,on the other hand
par exemple,for example
pendant que,whilst
pourtant,nevertheless
puis,then
puisque,as,since
quand,when
sans doute,no doubt
si,if
y compris,including
à,at
à côté de,next to
à travers,across
au bord de,at the side of
au bout de,at the end of
au-dessous de,below
au-dessus de,above
au fond de,at the bottom of
au lieu de,instead of
au milieu de,in the middle of
autour de,around
avec,with
contre,against
dans,in
de,of
depuis,since
derrière,behind
devant,in front of
en,in,at
en dehors de,outside
en face de,opposite
entre,between
jusqu'à,until
malgré,in spite of
parmi,among
pour,for
près de,near to
sans,without
selon,according to
vers,towards
ne...jamais,never
ne...pas,not
ne...personne,no-one
ne...plus,no more,not any longer,no longer
ne...que,only
ne...rien,nothing
ni...ni...,neither,nor
pas encore,not yet
premier/première,first
deuxième,second
troisième,third
quatrième,fourth
cinquième,fifth
sixième,sixth
septième,seventh
huitième,eighth
neuvième,ninth
dixième,tenth
dizaine,ten ,about ten
douzaine,dozen
nombre de,number of
combien?,how many,how much
comment?,how?

où?,where?
pourquoi?,why?
quand?,when?
que?,what?
quel/quelle?,which?
qu'est-ce que?,what?
qu'est-ce qui?,what?
qu'est-ce que c'est?,what is it?
qui?,who?
quoi?,what?
A quelle heure?,At what time?
Ça s'écrit comment?,How do you spell it?
C'est combien?,How much is it?
C'est quelle date?,What is the date?
C'est quel jour?,What day is it?
De quelle couleur?,Which colour?
D'où?,Where from?
Où ça?,Whereabouts?
Où est ...?,Where is ...?
Pour combien de temps?,For how long?
Que veut dire ...?,What does ... mean?
Quelle heure est-il?,What time is it?
à bientôt,see you soon
à demain,see you tomorrow
à tout à l'heure,see you later
allô,hello 
amitiés,kind regards
au revoir,goodbye
au secours!,help!
bien sûr,of course
bienvenue!,welcome!
bonjour,hello
bon anniversaire!,happy birthday!
bon appétit,enjoy your meal
bon voyage,have a good trip
bonne année!,happy new year!
bonne chance!,good luck!
bonne idée!,good idea!
bonne nuit,good night
bonnes vacances,have a good holiday
bonsoir,good evening
bravo!,well done!
ça va?,are you alright?
ça va,I'm fine
d'accord,alright,OK
de rien,don't mention it,you're welcome
désolé,sorry
s'excuser,to apologise
excusez-moi,excuse me
félicitations!,congratulations!
joyeux Noël!,happy Christmas!
meilleurs voeux,best wishes
merci,thank you
non,no
oui,yes
pardon,sorry,excuse me
quel dommage,what a shame
salut,hi
santé!,cheers!
s'il te/vous plaît,please
à mon avis,in my opinion
absolument,absolutely
affreux,awful
agréable,pleasant
aimer,to like,to love
amusant,fun
barbant,boring
bien,good
bien entendu,of course
bon,good,right
ça dépend,it depends
ça m'énerve,it annoys me
ça me fait rire,it makes me laugh
ça me plaît,I like it
ça m'est égal,I don't mind
ça ne me dit rien,it doesn't interest me
ça suffit,that's enough
casse-pieds,pain in the neck
cher,expensive
chouette,super ,great
comique,funny,comical
comme ci comme ça,so-so
compliqué,complicated
content,happy
croire,to believe

désagréable,unpleasant
désirer,to wish,to desire
détester,to hate
difficile,hard,difficult
dire,to say
drôle,funny
embêtant,annoying
en général,in general
enchanté,delighted
ennuyeux,boring
espérer,to hope
étonné,surprised
facile,easy
faible,weak
fantastique,fantastic
formidable,great
franchement,really,frankly
généralement,generally
génial,great
grave,serious
intéressant,interesting
s'intéresser à,to be interested in
inutile,useless
incroyable,unbelievable
inquiet,worried
joyeux,happy
marrant,funny
marre (en avoir ...),to be fed up
mauvais,bad
merveilleux,wonderful
mignon,cute
moche,ugly
moderne,modern
moi non plus,me neither
nouveau,new
nul,lousy,stupid,rubbish
optimiste,optimistic
passionnant,exciting,fascinating
penser,to think
pessimiste,pessimistic
peut-être,maybe
populaire,popular
positif,positive
pratique,useful,handy
préférer,to prefer
promettre,to promise
regretter,to regret
ridicule,ridiculous
rigolo,funny
sembler,to seem like
sensass,sensational
simple,simple
splendide,splendid
stupide,stupid
supporter,to put up with,to bear
superbe,superb
utile,useful
vouloir,to want
zut!,damn!
lundi,Monday
mardi,Tuesday
mercredi,Wednesday
jeudi,Thursday
vendredi,Friday
samedi,Saturday
dimanche,Sunday
printemps,spring
été,summer
automne,autumn
hiver,winter
janvier,January
février,February
mars,March
avril,April
mai,May
juin,June
juillet,July
août,August
septembre,September
octobre,October
novembre,November
décembre,December
demi,half
environ,about,around
l'heure (f),hour
midi,midday
minuit,midnight
la minute,minute
moins,less
quart,quarter
la seconde,second
à la fois,at the same time
à l'avenir,in the future
à l'heure,on time
à temps partiel,part-time
an,year
année,year
après,after
après-demain,day after tomorrow
après-midi,afternoon
aujourd'hui,today
auparavant,before,previously
avant,before
avant-hier,day before yesterday
bientôt,soon
d'abord,first
dans une minute,in a minute
d'habitude,usually
de bonne heure,early
début,start,beginning
demain,tomorrow
dernier,last
de temps en temps,from time to time
déjà,already
de nouveau,again
en attendant,whilst waiting for
en avance,in advance,early
en retard,late
en train de,in the middle of
en même temps,at the same time
encore une fois,one more time,once again
enfin,at last
fin,end
hier,yesterday
il y a,ago
jour,day
journée,day
lendemain,next day
longtemps,a long time
maintenant,now
matin,morning
mois,month
en ce moment,at the moment
normalement,normally
nuit,night
parfois,sometimes
passé,past
pendant,during
plus tard,later
presque,almost
prochain,next
quelquefois,sometimes
rarement,rarely
récemment,recently
semaine,week
seulement,only
siècle,century
soir,evening
soudain,suddenly
souvent,often
suivant,following
sur le point de,just about to
tard,late
tôt,early
toujours,always
tous les jours,every day
tout à coup,suddenly
tout de suite,straight away
vite,quickly,fast
week-end,weekend
droite,right
gauche,left
banlieue,suburb
centre-ville,town centre,city centre
campagne,countryside
chez moi,at my house
de chaque côté,on every side
de l'autre côté,on the other side
en bas,downstairs,at the bottom
en haut,upstairs,at the top
est,east
ici,here
kilomètre,kilometre
là,there
là-bas,over there
loin de,far from
nord,north
nulle part,nowhere
ouest,west
par,by
partout,everywhere
quelque part,somewhere
situé,situated,located
sud,south
tout droit,straight ahead
tout près,very near
toutes directions,all directions
ville,town
blanc,white
bleu,blue
blond,blond
brun,brown
clair,light
foncé,dark
gris,grey
jaune,yellow
marron,brown
noir,black
pourpre,crimson
rose,pink
rouge,red
roux,ginger,red
vert,green
assez,quite
bas,low
beaucoup,a lot
boîte,box,tin
bouteille,bottle
centimètre,centimetre
court,short
demi,half
encore de,more of
étroit,narrow,tight
gramme,gram
grand,big,tall
gros,big,fat
haut,high
kilo,kilo
large,wide ,loose-fitting
litre,litre
maigre,thin,skinny
mesurer,to measure
mètre,metre
mince,slim
moitié,half
morceau,bit,piece
moyen,medium
nombre,number
paquet,packet
pas mal de,quite a lot of
peser,to weigh
petit,small
peu,a small amount
plein de,a lot of
pointure,size
rien,nothing
suffisamment,sufficient,enough of
taille,height,size
tranche,slice
très,very
trop,too much
carré,square
la hauteur,height
rond,round
averse,rain,shower,showers
briller,to shine
brouillard,fog
chaleur,heat
chaud,hot
ciel,sky
climat,climate
couvert,overcast
degré,degree
doux,mild
éclair,lightning
éclaircie,sunny interval
ensoleillé,sunny
faire beau,to be good weather
faire mauvais,to be bad weather
froid,cold
geler,to freeze
glace,ice
humide,humid
météo,weather forecast
mouillé,wet
neige,snow
neiger,to snow
nuage,cloud
nuageux,cloudy
ombre,shadow,shade
orage,thunderstorm
orageux,stormy
pleuvoir,to rain
pluie,rain
sec,dry
soleil,sun
température,temperature
tempête,storm
temps,weather
tonnerre,thunder
tremper,to soak
vent,wind
complet,full
entrée libre,open (without obligation to buy)
fermé,closed
fermer,to close
interdit,forbidden
occupé,engaged,busy
ouvert,open
ouvrir,to open
sortie la,exit
avoir raison,to be right
avoir tort,to be wrong
corriger,to correct
erreur,error,mistake
faute la,mistake,fault
faux,wrong,fale
il (me) faut,(I) need
juste,fair,right
nécessaire,necessary
obligatoire,compulsory
parfait,perfect
sûr,sure
se tromper,to be wrong
vrai,TRUE
l' argent (m),silver
le béton,concrete
le bois,wood
la brique,brick
le carton,cardboard
le coton,cotton
le cuir,leather
le fer,iron
la laine,wool
le métal,metal
l' or (m),gold
le papier,paper
le plastique,plastic
la soie,silk
le verre,glass
le CDI (centre de documentation et d'information),school library,information centre
le CES (collège d'enseignement secondaire),secondary school
l' EMT (éducation manuelle et technique) (f),DT,design technology,design and technology
l' EPS (éducation physique et sportive) (f),PE ,physical education
l' HLM (habitation à loyer modéré) (f),council housing
